=== Page 4 ===
款,項,"金
額",,,
高齢者公共交通支援 事 業,"９年度から
11年度まで",１５，５９６,,,
"こ ど も 発 達 セ ン タ ー
車 両 運 行 管 理 業 務","９年度から
11年度まで",２５，９０５,,,
健康管理システムデータ入力 業 務,"９年度から
11年度まで",５２，９５４,,,
集 団 が ん 検 診 等 業 務,"９年度から
11年度まで",１６３，４４０,,,
丸火自然公園運営 管 理 業 務,"９年度から
13年度まで",３２，３８３,,,
"ふ る さ と 納 税 制 度
特 産 品 配 布 等 業 務","９年度から
11年度まで",寄附金額に応じた諸経費にかかる金額,,,
"サイクル ス テ ー シ ョ ン
運
営
管
理
業
務","９年度から
13年度まで",６８，９５０,,,
地理空間情報等 更 新 包 括 業 務,"９年度から
12年度まで",３０２，０１７,,,
道 路 点 検 補 修 事 業,"９年度から
11年度まで",５１，３６４,,,
道路・公園照明 灯 Ｅ Ｓ Ｃ Ｏ 事 業,"９年度から
18年度まで",１，０６７，６０５,,,
"富 士 駅 公 益 施 設 建 設
Ｊ Ｒ 仮 施 設 整 備 事 業","９年度から
13年度まで",３２，６０６,,,

=== Page 11 ===
"事
項",期 間,"限
度
額",,,
"富 士 駅 公 益 施 設 建 設
富士駅前仮設交番 整 備 事 業",９年度,１，９５０,,,
"富 士 駅 北 口 駅 前 広 場
ＪＲ施設 移 転 補 償 事 業","９年度から
13年度まで",１，４４８，９４０,,,
"富士駅北 口 再 開 発 地 内
保 留 床 取 得 事 業","９年度から
11年度まで",１，３１１，８５５,,,
"富 士 駅 北 口 駅 前 広 場
配電設備等移転補償 事 業",９年度,２７９，３００,,,
都市公園 運 営 管 理 業 務,"９年度から
13年度まで",１，２０２，３７０,,,
消 防 車 両 更 新 事 業,９年度,２１０，１００,,,
"小 中 学 校 再 編 計 画
策 定 等 支 援 業 務",９年度,２０，３０１,,,
"小学校屋外バリアフ リ ー
ト イ レ 整 備 事 業","９年度から
13年度まで",５，６５８,,,
田子浦小学校校舎 改 築 事 業,"９年度から
11年度まで",４，１７５，６５０,,,
"少年自然の家・ 丸 火 青 少 年 の 家
運
営
管
理
業
務","９年度から
13年度まで",２７５，６８９,,,
"旧順天堂 田 中 歯 科 医 院
移
築
復
原
事
業",９年度,１３３，１７９,,,
図 書 等 運 搬 業 務,"９年度から
11年度まで",９，３４６,,,
運動施設個別施 設 計 画 策 定 業 務,９年度,８，２７２,,,
"富士市土地開発公社用地取得 事 業
（ 令 和 ８ 年 度 分 ）","９年度から
13年度まで",７２５，４０３,,,

=== Page 12 ===
起 債 の 目 的,限 度 額,起債の方法,利 率,償 還 の 方 法,,,
