ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
15,12 . 交 通 安 全対策 特 別 交 付 金,現 計,"40,00 0",,,,
15,13 . 分 担 金 及び負 担 金,補 正,,,,,
15,13 . 分 担 金 及び負 担 金,現 計,"1,673,55 5",,,,
15,14 . 使 用 料 及び手 数 料,補 正,,,,,
15,14 . 使 用 料 及び手 数 料,現 計,"1,274,95 2",,,,
15,15 . 国 庫 支 出 金,補 正,,,,,
15,15 . 国 庫 支 出 金,現 計,"19,346,84 0",,,,
15,"16 .
県
支
出
金",補 正,,,,,
15,"16 .
県
支
出
金",現 計,"8,912,92 1",,,,
15,"17 . 財
産
収
入",補 正,,,,,
15,"17 . 財
産
収
入",現 計,"375,13 9",,,,
15,"18 . 寄
附
金",補 正,,,,,
15,"18 . 寄
附
金",現 計,"6,019,30 1",,,,
15,"19 . 繰
入
金",補 正,,,,,
15,"19 . 繰
入
金",現 計,"2,140,01 7",,,,
15,"20 . 繰
越
金",補 正,,,,,
15,"20 . 繰
越
金",現 計,"1,000,00 0",,,,
15,"21 . 諸
収
入",補 正,,,,,
15,"21 . 諸
収
入",現 計,"1,973,37 5",,,,
15,"22 . 市
債",補 正,,,,,
15,"22 . 市
債",現 計,"7,602,60 0",,,,
15,"歳
入
合
計",補 正,,,,,
15,"歳
入
合
計",現 計,"110,800,00 0",,,,
16,"議決年月 日
款 別",当 初 予 算,当 初 予 算,第 １ 回,,,
16,"議決年月 日
款 別",令和８． ３,令和８． ３,,,,
16,"１ . 議
会
費",補 正,,,,,
16,"１ . 議
会
費",現 計,"488,45 1",,,,
16,"２ . 総
務
費",補 正,,,,,
16,"２ . 総
務
費",現 計,"9,616,15 4",,,,
16,"３ . 民
生
費",補 正,,,,,
16,"３ . 民
生
費",現 計,"43,341,69 3",,,,
16,"４ . 衛
生
費",補 正,,,,,
16,"４ . 衛
生
費",現 計,"10,396,10 6",,,,
16,"５ . 労
働
費",補 正,,,,,
16,"５ . 労
働
費",現 計,"159,96 3",,,,
16,６ . 農 林 水 産 業 費,補 正,,,,,
16,６ . 農 林 水 産 業 費,現 計,"1,010,89 7",,,,
16,"７ . 商
工
費",補 正,,,,,
16,"７ . 商
工
費",現 計,"5,525,32 9",,,,
16,"８ . 土
木
費",補 正,,,,,
16,"８ . 土
木
費",現 計,"13,904,32 4",,,,
16,"９ . 消
防
費",補 正,,,,,
16,"９ . 消
防
費",現 計,"6,082,68 2",,,,
16,"10 . 教
育
費",補 正,,,,,
16,"10 . 教
育
費",現 計,"12,402,93 9",,,,
16,11 . 災 害 復 旧 費,補 正,,,,,
16,11 . 災 害 復 旧 費,現 計,"164,72 0",,,,
16,"12 . 公
債
費",補 正,,,,,
16,"12 . 公
債
費",現 計,"7,606,64 2",,,,
16,"13 . 諸
支
出
金",補 正,,,,,
16,"13 . 諸
支
出
金",現 計,10 0,,,,
16,"14 . 予
備
費",補 正,,,,,
16,"14 . 予
備
費",現 計,"100,00 0",,,,
16,"歳
出
合
計",補 正,,,,,
16,"歳
出
合
計",現 計,"110,800,00 0",,,,
17,款,本年度予算額,前年度予算額,"比
較",,,
17,1 市税,"千円
49,286,300","千円
48,352,400","千円
933,900",,,
17,2 地方譲与税,"685,000","680,000","5,000",,,
17,3 利子割交付金,"100,000","22,000","78,000",,,
17,4 配当割交付金,"380,000","350,000","30,000",,,
17,5 株式等譲渡所得割交付金,"700,000","500,000","200,000",,,
17,6 法人事業税交付金,"770,000","700,000","70,000",,,
17,7 地方消費税交付金,"7,800,000","7,000,000","800,000",,,
17,8 ゴルフ場利用税交付金,"60,000","60,000",0,,,
17,9 環境性能割交付金,"2,000","110,000","△108,000",,,
17,10 地方特例交付金,"458,000","312,000","146,000",,,
17,11 地方交付税,"200,000","200,000",0,,,
