款,項,目,節,説明,R7,R8
,,,,重層的支援体制整備事業交付金,,10802
,,,,地域生活支援事業費補助金,,39687
,,,,社会資本整備総合交付金,,1092
,,,,児童虐待防止対策支援事業費補助金,,2403
,,,生活保護費補助金,,,19112
,,,,生活保護適正実施推進事業補助金,,17037
,,,,生活困窮者就労準備支援事業費等補助金,,2074
,,,,中国残留邦人等地域生活支援事業補助金,,1
,,衛生費補助金,,,133289,89740
,,,保健衛生費補助金,,,39785
,,,,感染症予防事業費等補助金,,9031
,,,,母子保健衛生費補助金,,17798
,,,,母子保健対策強化事業補助金,,123
,,,,子ども・子育て支援交付金,,11122
,,,,医療施設運営費等補助金,,1711
,,,清掃費補助金,,,33694
,,,,地域少子化対策重点推進交付金,,814
,,,,循環型社会形成推進交付金,,9380
,,,,地域脱炭素移行・再エネ推進交付金,,23500
,,,環境対策費補助金,,,16261
,,,,地域脱炭素移行・再エネ推進交付金,,3089
,,,,特定外来生物防除等対策事業交付金,,562
,,,,公害健康被害補償給付支給事務費交付金,,12610
,,商工費補助金,,,26188,30320
,,,商工費補助金,,,30320
,,,,地域未来交付金,,16833
,,,,受入環境整備促進事業補助金,,3487
,,,,地方スポーツ振興費補助金,,10000
,,土木費補助金,,,1735518,1895701
,,,道路橋梁費補助金,,,307558
,,,,地域未来交付金,,24310
,,,,防災・安全交付金,,146000
,,,,道路メンテナンス事業補助金,,105930
,,,,地域脱炭素移行・再エネ推進交付金,,31318
,,,河川費補助金,,,77750
,,,,防災・安全交付金,,42750
,,,,下水道防災事業費補助金,,35000
,,,港湾費補助金,,,11800
,,,,地域未来交付金,,11800
,,,都市計画費補助金,,,1125319
,,,,地域公共交通確保維持改善事業補助金,,1177
,,,,社会資本整備総合交付金,,598677
,,,,防災・安全交付金,,75550
,,,,地域未来交付金,,65868
,,,,都市構造再編集中支援事業費補助金,,321397
,,,,建築物吹付アスベスト対策事業費補助金,,1100
,,,,既存建築物耐震性向上事業費補助金,,650
,,,,耐震補強事業費補助金,,60900
,,,公園費補助金,,,231250
,,,,社会資本整備総合交付金,,207250
,,,,防災・安全交付金,,15500
,,,,地域脱炭素移行・再エネ推進交付金,,8500
,,,住宅費補助金,,,142024
,,,,社会資本整備総合交付金,,137936
,,,,空き家対策総合支援事業補助金,,3350
,,,,住宅市場整備推進等事業費補助金,,738
,,消防費補助金,,,0,38656
,,,消防費補助金,,,38656
,,,,消防防災施設整備費補助金,,3996
,,,,緊急消防援助隊設備整備費補助金,,17113
,,,,防災・安全交付金,,6083
,,,,地域未来交付金,,11464
,,教育費補助金,,,541490,457465
,,,教育総務費補助金,,,6895
,,,,へき地児童生徒援助費等補助金,,942
,,,,教育支援体制整備事業費補助金,,5953
,,,小学校費補助金,,,117478
,,,,理科教育設備整備費等補助金,,1800
,,,,要保護児童援助費補助金,,243
,,,,特別支援教育就学奨励費補助金,,2523
,,,,学校施設環境改善交付金,,112912
,,,中学校費補助金,,,65903
,,,,理科教育設備整備費等補助金,,1250
,,,,要保護生徒援助費補助金,,399
,,,,特別支援教育就学奨励費補助金,,4745
,,,,学校施設環境改善交付金,,59509
,,,高等学校費補助金,,,100
,,,,理科教育設備整備費等補助金,,100
,,,幼稚園費補助金,,,20166
,,,,物価高騰対応重点支援地方創生臨時交付金,,16328
,,,,子ども・子育て支援交付金,,61
,,,,子ども・子育て支援体制整備総合推進事業費補助金,,169
,,,,教育支援体制整備事業費交付金,,1549
,,,,保育対策総合支援事業費補助金,,2059
,,,社会教育費補助金,,,17935
,,,,埋蔵文化財調査事業費補助金,,16288
,,,,文化芸術振興費補助金,,1647
,,,体育保健費補助金,,,228988
,,,,物価高騰対応重点支援地方創生臨時交付金,,228988
,国庫委託金,,,,129276,58215
,,総務費委託金,,,71452,2568
,,,戸籍住民基本台帳費委託金,,,2545
,,,,中長期在留者住居地届出等事務委託金,,2469
,,,,自衛官募集事務委託金,,76
,,,選挙費委託金,,,23
,,,,在外選挙人名簿登録事務委託金,,23
,,民生費委託金,,,57824,55647
,,,社会福祉費委託金,,,54413
,,,,国民年金事務費交付金,,53089
,,,,特別障害給付金事務費交付金,,27
,,,,年金生活者支援給付金支給業務市町村事務取扱交付金,,1106
,,,,遺族及留守家族等援護費事務委託金,,191
,,,障害者福祉費委託金,,,1234
,,,,特別児童扶養手当事務委託金,,1234
県支出金,,,,,8760799,8912921
,県負担金,,,,5346919,5615850
,,民生費負担金,,,5216105,5486896
,,,社会福祉費負担金,,,1198554
,,,,民生委員事務費負担金,,35790
,,,,行旅死亡人等取扱費負担金,,643
,,,,保険基盤安定負担金（国民健康保険）（調定見込額 保険税軽減分682275*3/4(511706)+保険者支援分421072*1/4(105268)）,,616974
,,,,未就学児均等割保険税負担金（調定見込額 9858*1/4）,,2464
,,,,産前産後保険税負担金（調定見込額 2723*1/4）,,680
,,,,保険基盤安定負担金（後期高齢者医療）（調定見込額 保険料軽減分718953*3/4(539215)+被扶養者軽減分3718*3/4(2788)）,,542003
,,,老人福祉費負担金,,,40725
,,,,介護保険低所得者保険料軽減負担金（調定見込額 162900*1/4）,,40725
,,,児童福祉費負担金,,,1280504
