款,項,目,節,説明,R5,R6
,,,,"消防車両整備（備考 消防団資機材等整備 3,168×1／2＋8,166×1／3 4,306）",,10000
,,,,地震・津波対策等減災交付金（防災分）,,27173
,,教育費補助金,,,126282,114307
,,,教育総務費補,,,6475
,,,,部活動地域移行体制整備事業費補助金（備考 助金 中学校部活動地域移行協議会 236×2／3）,,157
,,,,"部活動指導員配置事業費補助金（備考 部活動指導員 4,340×2／3）",,2893
,,,,"学校・家庭・地域連携協力推進事業費補助金（備考 放課後学習支援ボランティア 2,697×2／3×0.7）",,1258
,,,,"不登校、いじめ対策等の推進事業費補助金（備考 心の健康観察アプリ導入 2,167×10／10）",,2167
,,,小学校費補助,,,1733
,,,,"地震・津波対策等減災交付金（備考 金 ガラス飛散防止フィルム貼替 5,200×1／3）",,1733
,,,中学校費補助,,,433
,,,,"地震・津波対策等減災交付金（備考 金 ガラス飛散防止フィルム貼替 1,300×1／3）",,433
,県委託金,,,,,473216
,,総務費委託金,,,475290,443634
,,,総務管理費委,,,1030
,,,,地方自治法取扱事務委託金,,1
,,,,託金 特定非営利活動促進法等取扱事務委託金,,1029
,,,徴税費委託金,,,428232
,,,,"県民税徴収取扱事務委託金（備考 現年課税分 135,200人×3,000円 405,600 滞納繰越分 180×7／100 12）",,428232
,,民生費委託金,,,6272,8227
,,,社会福祉費委,,,3554
,,,,人権啓発活動事業委託金,,961
,,,,託金 民生委員法取扱事務委託金,,576
,,,,老人福祉法取扱事務委託金,,2017
,,,児童福祉費委,,,738
,,,,児童福祉法関係取扱事務委託金,,4
,,,,託金 認定こども園に関する事務委託金,,113
,,,,地域子育て支援拠点事業等取扱事務委託金,,621
,,,障害者福祉費,,,3550
,,,,療育手帳取扱事務委託金,,1272
,,,,委託金 身体障害者手帳取扱事務委託金,,1977
,,,,心身障害者扶養共済制度取扱事務委託金,,301
,,,生活保護費委,,,385
,,,,ホームレス実態調査委託金,,30
,,,,託金 国民生活基礎調査委託金,,355
