款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
,,,,建築完了検査手数料,,,353,,,調定見込額: 18件
,,,,建築計画変更手数料,,,11,,,調定見込額: 1件
,,,,建築許可申請手数料,,,2066,,,調定見込額: 53件
,,,,長期優良住宅認定手数料,,,8097,,,調定見込額: 507件
,,,,低炭素建築物認定手数料,,,36,,,調定見込額: 6件
,,,,屋外広告物許可申請手数料,,,5320,,,調定見込額: 380件
,,,,開発行為等許可申請手数料,,,3067,,,調定見込額: 113件
,,,,建築物省エネ性能適合判定申請手数料,,,187,,,調定見込額: 4件
,,,住宅手数料,,,,18,,,
,,,,市営住宅に関する証明手数料,,,18,,,調定見込額: 61件
,,消防手数料,,,10535,,10710,,,
,,,消防手数料,,10535,,10710,,,
,,,,危険物施設設置等許可申請手数料,6211,,6030,"備考: 特定屋外タンク貯蔵所 440,000円× 2件 880 その他 27,200円×196件 5,331",,調定見込額: 特定屋外タンク貯蔵所440000円*2件(880)+その他25000円*206件(5150)
,,,,危険物施設完成検査前検査申請手数料,660,,880,"備考: 特定屋外タンク貯蔵所 265,000円× 2件 530 その他 9,300円× 14件 130",,調定見込額: 特定屋外タンク貯蔵所265000円*3件(795)+その他17000円*5件(85)
,,,,危険物施設完成検査申請手数料,2538,,2638,"備考: 13,500円×188件",,調定見込額: 13600円*194件
,,,,危険物施設承認申請手数料,,,1036,,,調定見込額: 5400円*192件
,,,,火薬類消費許可申請手数料,,,126,,,調定見込額: 7900円*16件
,,教育手数料,,,1941,,1941,,,
,,,高等学校手数,,1941,,,,,
,,,,入学検定料,550,,,"備考: 料 2,200円×250人",,
,,,,入学料,1356,,,"備考: 5,650円×240人",,
,,,,卒業証明書等発行手数料,35,,,備考: 350円×100件,,
,,,高等学校手数料,,,,1941,,,
,,,,入学検定料,,,550,,,調定見込額: 2200円*250人
,,,,入学料,,,1356,,,調定見込額: 5650円*240人
,,,,卒業証明書等発行手数料,,,35,,,調定見込額: 350円*100件
,使用料及び手数料,,,,,2000000,,,,
,,使用料及び手数料,,,,2000000,,,,
,,,使用料及び手数料,,,2000000,,,,
国庫支出金,,,,,16482873,15000000,19346840,,,
,国庫負担金,,,,12257787,,15463656,,,
,,民生費負担金,,,12037068,,15204246,,,
,,,社会福祉費負,,220696,,,,,
,,,,生活困窮者自立相談支援事業費等負担金,12418,,,"備考: 担金 住居確保給付事業 3,528×3／4 2,646 被保護者就労支援事業 11,942×3／4 8,956 被保護者健康管理支援事業 1,089×3／4 816",,
,,,,保険基盤安定負担金（国民健康保険）,202317,,,"備考: 保険者支援分 404,635×1／2",,
,,,,未就学児均等割保険税負担金,4534,,,"備考: 9,068×1／2",,
,,,,産前産後保険税負担金,1427,,,"備考: 2,854×1／2",,
,,,老人福祉費負,,84478,,,,,
,,,,介護保険低所得者保険料軽減負担金,84478,,,"備考: 担金 168,957×1／2",,
,,,児童福祉費負,,2403489,,,,,
,,,,児童入所施設措置費負担金,4628,,,"備考: 担金 母子生活支援施設 6,032×1／2 3,016 助産施設 3,224×1／2 1,612",,
,,,,児童扶養手当負担金,284000,,,"備考: 852,000×1／3",,
,,,,未熟児養育医療費負担金,4000,,,"備考: 8,000×1／2",,
,,,,未熟児養育医療費負担金過年度分,1,,,,,
,,,,施設型・地域型保育給付費負担金,2110860,,,"備考: 施設型給付 1号分 494,130×1／2 247,065 2号分 1,367,808×1／2 683,904 3号分 1,272,702×0.5823 741,094 地域型保育給付 家庭的保育 59,018×0.5823 34,366 小規模保育",,
,,,社会福祉費負担金,,,,219096,,,
,,,,生活困窮者自立相談支援事業費等負担金,,,2270,,,調定見込額: 住居確保給付事業3027*3/4
,,,,保険基盤安定負担金（国民健康保険）,,,210536,,,調定見込額: 保険者支援分421072*1/2
